epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3342,2.78422,4.87675,2.28522,0.00097,0.07692,0.00287,0.00056,2.78314,4.61606,2.02201,0.00025722,0.00025722,0.00025722
2,114.139,2.40576,3.97557,1.82571,0.00333,0.23333,0.02745,0.00592,2.47126,4.33241,1.77403,0.000518261,0.000518261,0.000518261
3,171.504,2.32675,3.4846,1.82388,0.78243,0.03205,0.14101,0.06509,2.37449,3.95229,1.94113,0.00076855,0.00076855,0.00076855
4,228.03,2.28857,3.27401,1.76402,0.78913,0.05128,0.1446,0.06766,2.42344,3.67275,2.15249,0.00100809,0.00100809,0.00100809
5,285.326,2.30486,3.24067,1.86479,0.7119,0.07692,0.19387,0.09183,2.47032,3.50378,1.98174,0.00123687,0.00123687,0.00123687
6,345.73,2.27316,3.11839,1.81917,0.45827,0.2238,0.24157,0.10888,2.35669,3.26585,2.0376,0.00128753,0.00128753,0.00128753
7,405.484,2.25979,2.92821,1.8171,0.17541,0.15812,0.16716,0.06891,2.43588,3.32289,1.92633,0.00125923,0.00125923,0.00125923
